,Description,UseType
506,"ALTERATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. NEW INTERIOR FRAMING, ELECTRICAL, PLUMBING AND MECHANICAL. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.",Commercial
507,ERECT A 63.4’ X 40’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1426 SF (LIVING AREA-1ST FL); 413 SF (GARAGE); 179 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
508,GRADING PERMIT TO ERECT A 74’ X 50’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2244 SF (LIVING AREA-1ST FL); 318 SF (LIVING AREA-2ND FL); 480 SF (GARAGE); 186 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
509,"INSPECT FOR CERTIFICATE OF OCCUPANCY; DAVID ROBERTSON PHOTOGRAPHY LLC, 847 S. PERRY ST; (334)414-4540",Commercial
510,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED FOR HOME MEDICAL EQUIPMENT.  POINT OF CONTACT MICHAEL WAITES 358-7500,Commercial
511,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPTED ON JOB SITE AT ALL TIMES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. SHALL MEET ALL APPLICABLE CODES.,Commercial
512,ERECT A 68.6’ X 40’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1674 SF (LIVING AREA-1ST FL); 471 SF (GARAGE); 178 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
513,ALTERATIONS TO EXISTING HOTEL LOBBY AS PER PLANS AND SPECIFICATIONS OF A COMMERCIAL BUILDING (HOTEL). A SET OF STAMPED PLANS MUST BE KEPT ON THE JOBSITE AT ALL TIMES.  HEALTH DEPARTMENT CERTIFICATION REQUIRED. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. MAINTAIN EXISTS DURING CONSTRUCTION TO MEET APPLICABLE CODES.,Commercial
514,"ERECT A 50'X70'-6 1/2"" ONE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 2838, LIVING AREA 2214 SQ FT, GARAGE 438 SQ FT, OTHER 186 SQ FT.  BEDROOM WINDOWS, PRE-FAB FIREPLACE, AND SMOKE DETECTORS MUST COMPLY TO CODES.  MUST COMPLY WITH STATE ENERGY REPORT.  SAN FACILITY IS REQUIRED. MUST MAINTAIN 10' BETWEEN STRUCTURE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.(4 BEDROOMS/2 BATHS)",Residential
515,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
516,REPLACEMET OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS PER CODES.  TO MEET ALL APPLICABLE CODES.,Residential
517,ERECT A 74’ X 50’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2244 SF (LIVING AREA-1ST FL); 318 SF (LIVING AREA-2ND FL); 480 SF (GARAGE); 186 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/2 BATH),Residential
518,ENCLOSURE OF AN 15'X16' EXISTING PATIO TO THE REAR OF AN EXISTING DWELLING.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
519,CUT CURB TO EXISTING DRIVEWAY OF DWELLING. TURN OUT INSPECTION WILL BE REQUIRED. TO MEET ALL APPLICABLE CODES.,Residential
520,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED AS A LAW FIRM.  POINT OF CONTACT BILL NEWTON 334-293-4782.,Commercial
521,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY WITH CODES.  TO MEET ALL APPLICABLE CODES.,Residential
522,RESIDENTIAL ADDITION TO EXISTING DWELLING. ADD 2 ROOMS TOTALING(15'x24')-(1) ONE BED ROOM AND (1) ONE FULL BATH. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
523,ALTERATIONS/GENERAL REPAIRS TO EXISTING COMMERCIAL BUILDING. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
524,ERECT A 90' X 47' ONE STORY BRICK VENEER COMMERCIAL BUILDING TO BE USED FOR OFFICE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. (THIS IS FOR THE SHELL ONLY) ADDITIONAL PERMIT AND PLANS REQUIRED FOR FINISHING. TO MEET ALL APPLICABLE CODES.,Commercial
525,GENERAL REPAIRS TO REPLACE ROOFING AND DECKING DUE TO ROTTEN WOOD AT EXISTING DWELLING. TO COMPLY WITH ALL APPLICABLE CODES. WORK TO COMPLETED WITHIN 45 DAYS.,Residential
526,"ERECT A 28' X 80'5"" TWO STORY BRICK VENEER SINGLE FAMILY WITH 3150 SF TOTAL, 1466 SF 1ST FL, 1177 SF 2ND FL, GARAGE 481 SF, OTHER 26 SF. BEDROOM WINDOWS, SMOKE DETECTORS, STAIRS PER CODES. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.  (4BR/3 1/2 BATHS)",Residential
527,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING. INTENT TO REPAIR APPLICATION REVIEWED BY HOUSING CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
528,REPLACE WINDOWS TO EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
529,C10-INSPECTION FOR POWER TO BE RECONNECT; EDDIE B's BARBERSHOP; EDDIE BABIES; (334)451-4301,Commercial
530,"INSTALL WALL SIGN ON FACE OF COMMERCIAL BUILDING (76'3"") AND PANEL REPLACEMENTS ON EXISTING PYLON SIGN. SIGN SIZE 50 SF AND 193.67 SF. 24"" AND 167"" TOTAL HEIGHT. ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TO MEET ALL APPLICABLE CODES.",Commercial
531,REPAIRS MADE TO EXISTING DWELLING DAMAGED BY FIRE.,Residential
532,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING TO THE HOTEL LOBBY. A SET OF STAMPED PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOB SITE AT ALL TIMES.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Commercial
533,"GRADING PERMIT TO ERECT A 50'X74'- 1/2"" TWO STORIES SINGLE FAMILY BRICK VENEER DWELLING WITH A TOTAL SQ FT OF 3095 WITH 2244 SQ FT 1ST FLOOR LIVING AREA, 318 SQ FT 2ND FLOOR LIVING AREA, 480 SQ FT GARAGE, AND 53 SQ FT OTHER.  PROJECT IS NOT IN A PRIORITY CONSTRUCTION STIE.  PROJECT DOES REQUIRE ADEM NPDES PERMIT.  NPDES PERMIT NUMBER ALR108799. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (4 BEDROOMS/2 BATHS)",Residential
534,ERECT A 72’X 44’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2188 SF (LIVING AREA-1ST FL); 340 SF (LIVING AREA-2ND FL); 471 SF (GARAGE); 139 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH/1 HALF BATH),Residential
535,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING TO THE HOTEL LOBBY. A SET OF STAMPED PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOB SITE AT ALL TIMES.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Commercial
536,INSPECT FOR CERTIFICATE OF OCCUPANCY; CENCENTRIC SECURITY LLC (OFFICE SPACE); AUBURN PRIDE PROPERTIES (GARY MANGUS) (334)273-8558,Commercial
537,ERECT A 60.75’ X 45’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1668 SF (LIVING AREA-1ST FL); 403 SF (GARAGE); 17 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/2 BATH),Residential
538,ERECT A 74.3’ X 64.5’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2577 SF (LIVING AREA-1ST FL); 582 SF (GARAGE); 285 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH),Residential
539,REPAIR EXISTING DWELLING DAMAGES DUE TO VANDALISM.,Residential
540,GRADING PERMIT TO ERECT A 72’X 44’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2188 SF (LIVING AREA-1ST FL); 340 SF (LIVING AREA-2ND FL); 471 SF (GARAGE); 139 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
541,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING TO INCLUDE INTERIOR ONLY.  A SET OF STAMPED PLANS MUST BE KEPT ON THE JOBSITE AT ALL TIMES.  ALL INSPECTIONS REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
542,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
543,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING TO THE HOTEL LOBBY. A SET OF STAMPED PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOB SITE AT ALL TIMES.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Commercial
544,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
545,"ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO REPLACE EXISTING 12’x12’ WOOD PORCH WITH NEW 12’x12’ WOOD PORCH. INSTALL SCREEN PANELS AT 12’x12’ WOOD PORCH. INSTALL 8’x16’ DECK, NOT TO BE COVERED; APPEND TO EXISITNG PORCH. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.",Residential
546,INSPECT FOR CERTIFICATE OF OCCUPANCY; CENCENTRIC SECURITY LLC (OFFICE SPACE); AUBURN PRIDE PROPERTIES (GARY MANGUS) (334)273-8558,Commercial
547,"ERECT A 39' X 76'9"" TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2453.8 SF (LIVING AREA-1ST FL 2096.4 SF);(LIVING AREA-2ND FL 257.4); 458.7 SF (GARAGE); 103.5 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH)",Residential
548,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING TO INCLUDE INTERIOR ONLY.  A SET OF STAMPED PLANS MUST BE KEPT ON THE JOBSITE AT ALL TIMES.  ALL INSPECTIONS REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
549,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING TO INCLUDE INTERIOR ONLY.  A SET OF STAMPED PLANS MUST BE KEPT ON THE JOBSITE AT ALL TIMES.  ALL INSPECTIONS REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
550,"ERECT A 50'X74'- 1/2"" TWO STORIES SINGLE FAMILY BRICK VENEER DWELLING WITH A TOTAL SQ FT OF 3095 WITH 2244 SQ FT 1ST FLOOR LIVING AREA, 318 SQ FT 2ND FLOOR LIVING AREA, 480 SQ FT GARAGE, AND 53 SQ FT OTHER.  STAIRS, PRE-FAB FIREPLACE, BEDROOM WINDOWS, AND SMOKE DETECTORS PER CODES.  MUST COMPLY WITH STATE ENERGY CODES. SAN FACILITY REQUIRED.  MUST MAINTAIN 10' BETWEEN STRUCTURES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (4 BEDROOMS/2 BATHS)",Residential
551,"PRE-FABRICATED 10 X 20 WOODEN STORAGE BUILDING TO BE INSTALLED.  MUST MAINTAIN 10' BETWEEN STRUCTURES, 10' SIDE YARD & 12' REAR EASEMENT. TO MEET ALL APPLICABLE CODES.  ALL INSPECTIONS MUST PASS ALL APPLICABLE INSPECTIONS.",Residential
552,REPAIR EXISTING DWELLING DAMAGES DUE TO VANDALISM.,Residential
553,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AS A LAUNDROMAT.  RAHEEM ABDULLAH  220-6353,Commercial
554,ERECT A 74.3’ X 64.5’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2577 SF (LIVING AREA-1ST FL); 582 SF (GARAGE); 285 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH),Residential
555,ERECT A 74.3’ X 64.5’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2577 SF (LIVING AREA-1ST FL); 582 SF (GARAGE); 285 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH),Residential
556,CERTIFICATE OF OCCUPANCY FOR A BUS LIC TO BE USED FOR AN ADMINISTRATOR OFFICE.  POINT OF CONTACT BETTY RANDOLPH 334-303-0520.,Commercial
557,ERECT A 60.75’ X 45’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1668 SF (LIVING AREA-1ST FL); 403 SF (GARAGE); 17 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/2 BATH),Residential
558,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AS A MECHANIC REPAIR SHOP.  LIZZY WORTHY  294-2268,Commercial
559,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED AS A DAYCAR CENTER.  POINT OF CONTACT TERESA ELEM 334-399-0555 AND JOHNNIE MONTGOMERY 334-221-721.,Commercial
560,"INSTALL A 10'X20 30'HIGH PYLON STANDING ALONE SIGN WITH TWO FACES. UL NUMBERS HG780471, HG780472. NO PART OF ANY SIGN SHALL BE CLOSER TO THE STREET PROPERTY LINES THAN 10 FT AND SHALL NOT EXCEED 45 FT IN HEIGHT. ALL INSPECTION REQUIRED BY AL APPLICABLE CODES.  TO MEET ALL APPLICABLE DEPTS.",Commercial
561,ERECT A 28' X 5' HANDICAPP RAMP TO THE FRONT OF AN EXISTING DWELLING.  ALL INSPECTIONS REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES,Residential
562,ERECT A 28' X 5' HANDICAPP RAMP TO THE FRONT OF AN EXISTING DWELLING.  ALL INSPECTIONS REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES,Residential
563,REPAIR EXISTING DWELLING DAMAGES DUE TO VANDALISM.,Residential
564,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
565,GENERAL REPAIRS TO INSTALL 6 HELICAL PIERS FOR FOUNDATION REPAIR ON EXISTING FOUNDATION. ALL INSPECTIONS ARE REQUIRED. TO MEET ALL APPLICABLE CODES.,Residential
566,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING FOR THE PURPOSE OF AN ADA RESTROOM RENOVATION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPARTMENTS.  TO MEET ALL APPLICABLE CODES.,Commercial
567,"ERECT A 39' X 76'9"" TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2453.8 SF (LIVING AREA-1ST FL 2096.4 SF);(LIVING AREA-2ND FL 257.4); 458.7 SF (GARAGE); 103.5 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH)",Residential
568,"ERECT A 39' X 76'9"" TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2453.8 SF (LIVING AREA-1ST FL 2096.4 SF);(LIVING AREA-2ND FL 257.4); 458.7 SF (GARAGE); 103.5 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH)",Residential
569,ERECT A 42’ X 42.5’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1518 SF (LIVING AREA-1ST FL); 0 SF (GARAGE); 117 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
570,"GRADING PERMIT TO ERECT A 39' X 76'9"" TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2453.8 SF (LIVING AREA-1ST FL 2096.4 SF);(LIVING AREA-2ND FL 257.4); 458.7 SF (GARAGE); 103.5 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH)",Residential
571,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING FOR THE PURPOSE OF AN ADA RESTROOM RENOVATION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPARTMENTS.  TO MEET ALL APPLICABLE CODES.,Commercial
572,INTERIOR ALTERATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
573,DEMOLISH AN EXISTING DWELLING TO CLEAR LOT. HEALTH DEPT APPROVAL ON FILE. WATER WORKS #163370 ON FLIE. BOND RECIEPT #427717 ON FILE. PERMIT IS GOOD FOR (30) THIRTY DAYS. BUILDING FINAL INSPECTION IS REQUIRED. TO MEET ALL APPLICABLE CODES.,Residential
574,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
575,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED AS A MEDICAL COUNSELING AND MANAGEMENT.  POINT OF CONTACT 678-208-3460,Commercial
576,INSPECT FOR CERTIFICATE OF OCCUPANCY; TAYLOR INTERNAL MEDICINE (OFFICE SPACE); BRUCE TAYLOR (334)412-3739,Commercial
577,"ERECT A 55'-6"" X 58'-4"" TWO STORIES SINGLE FAMILY BRICK VENEER DWELLING WITH A TOTAL OF 4270 SQ FT WITH 1ST FLOOR 2257 SQ FT, 2ND FLOOR 1364 SQ FT, GARAGE 486 SQ FT, OTHER 163 SQ FT.  STAIRS, PRE-FAB FIREPLACE, BEDROOM WINDOWS, AND SMOKE DETECTORS PER CODES.  MUST COMPLY WITH STATE ENERGY REPORT.  SAN FACILITY REQUIRED. MUST MAINTAIN 16' BETWEEN STRUCTURES.   ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (5 BEDROOMS/ 4 BATHS)",Residential
578,REPAIR EXISTING DWELLING DAMAGES DUE TO VANDALISM.,Residential
579,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
580,"INSTALL 3 - 17'6""X 13' FREE STANDING ILLUMINATED SIGN WITH 6 FACES. NO PART OF ANY SIGN SHALL BE CLOSER TO THE STREET PROPERTY LINES THAN 10' AND SHALL NOT EXCEED 45 FT IN HEIGHT.  UL NUMBERS HG780461, HG780462, HG780463. ALL INSPECTION REQUIRED BY ALL APPLICABLE CODES.  TO MEET ALL APPLICABLE DEPTS.",Commercial
581,GRADING PERMIT TO ERECT A 74.3’ X 64.5’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2577 SF (LIVING AREA-1ST FL); 582 SF (GARAGE); 285 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
582,"ERECT A 55'-6"" X 58'-4"" TWO STORIES SINGLE FAMILY BRICK VENEER DWELLING WITH A TOTAL OF 4270 SQ FT WITH 1ST FLOOR 2257 SQ FT, 2ND FLOOR 1364 SQ FT, GARAGE 486 SQ FT, OTHER 163 SQ FT.  STAIRS, PRE-FAB FIREPLACE, BEDROOM WINDOWS, AND SMOKE DETECTORS PER CODES.  MUST COMPLY WITH STATE ENERGY REPORT.  SAN FACILITY REQUIRED. MUST MAINTAIN 16' BETWEEN STRUCTURES.   ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (5 BEDROOMS/ 4 BATHS)",Residential
583,"INSPECT FOR CERTIFICATE OF OCCUPANCY; OFFICE SPACE - TRIO SAFETY (CPR), 8449 CROSSLAND LOOP; (312)312-2244, DENNIS AGNEW",Commercial
584,GENERAL REPAIRS TO INSTALL 6 HELICAL PIERS FOR FOUNDATION REPAIR ON EXISTING FOUNDATION. ALL INSPECTIONS ARE REQUIRED. TO MEET ALL APPLICABLE CODES.,Residential
585,CERTIFICATE OF OCCUPANCY FOR A BUS LIC TO BE USED FOR AN ADMINISTRATOR OFFICE.  POINT OF CONTACT BETTY RANDOLPH 334-303-0520.,Commercial
586,"PRE-FABRICATED 10 X 20 WOODEN STORAGE BUILDING TO BE INSTALLED.  MUST MAINTAIN 10' BETWEEN STRUCTURES, 10' SIDE YARD & 12' REAR EASEMENT. TO MEET ALL APPLICABLE CODES.  ALL INSPECTIONS MUST PASS ALL APPLICABLE INSPECTIONS.",Residential
587,"ERECT A 38'X73'-9"" SINGLE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL OF 2656.2 SQ FT WITH LIVING AREA 2060 SQ FT, GARAGE 452.7 SQ FT, AND OTHER 142.9 SQ FT. SMOKE DETECTORS, BEDROOM WINDOWS, PRE-FAB FIREPLACE MUST COMPLY WITH CODES.  SAN FACILITY REQUIRED.  MUST COMPLY WITH STATE ENERGY CODES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPT.  TO MEET ALL APPLICABLE CODES. (4 BEDROOMS/2 BATHS)",Residential
588,ERECT A 60.75’ X 45’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1668 SF (LIVING AREA-1ST FL); 403 SF (GARAGE); 17 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/2 BATH),Residential
589,CERT OF OCC/BUS LIC INSP FOR DEALZ ON WHEELS/USED CARS SALES/ TERRANCE D. CAFFEY 334-538-0460,Commercial
590,GENERAL REPAIRS TO INSTALL 6 HELICAL PIERS FOR FOUNDATION REPAIR ON EXISTING FOUNDATION. ALL INSPECTIONS ARE REQUIRED. TO MEET ALL APPLICABLE CODES.,Residential
591,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING TO THE EXAM ROOMS. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPARTMENTS. A COPY OF STAMPED PLANS TO BE KEPT ON SITE AT ALL TIMES.  TO MEET ALL APPLICABLE CODES.,Commercial
592,ERECT A 42’ X 42.5’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1518 SF (LIVING AREA-1ST FL); 0 SF (GARAGE); 117 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
593,INSPECT FOR CERTIFICATE OF OCCUPANCY; HOUSE OF DOLLZ FASHION (RETAIL); SHAWYNE FELDER (334)544-6772,Commercial
